transaction_year,primary_sectors,total_commitments,total_disbursements,transaction_value
2008,"Government and civil society, general",9896457033.09811,7697160757.685779,6847645528.977551
2008,Health,3229155672.5924,2028169360.658634,2494770116.390587
2008,Industry,1038104644.07943,700863666.91361,431512335.35529
2008,Mineral resources and mining,1409276438.1817,338956652.23543996,885769278.25001
2008,Other,132734032.2875,133795650.013,87323512.6076
2008,Other social infrastructure and services,14404596932.62747,14027899449.500751,12721511141.623163
2008,Trade policy and regulations,939587224.508,8092026.7432,473839625.6256
2008,Transport and storage,2463704739.28128,1002838902.197724,1647873563.026092
2008,Water supply and sanitation,13805994362.60414,9689446230.099293,10252727943.115831
2009,"Agriculture, forestry, fishing",3536273674.5605,2016134525.42759,2554673264.252192
2009,Banking and financial services,20845998544.715702,13887894044.046312,17422915474.575928
2009,Basic education,54370150.1692,33490227.4842,40619493.954009995
2009,Communications,1978604253.02062,1290490689.472114,1458938943.373737
2009,Education,6887672694.34654,5709403397.64946,5679732437.32675
2009,Energy generation and supply,9498909991.30051,3954829430.1886024,5772986880.632074
2009,"Government and civil society, general",6589989552.44422,6589809580.03092,5543952347.61783
2009,Health,2286618141.55064,696193186.78406,1709718629.53148
2009,Industry,1627419941.59576,752967829.43602,1010777461.38648
2009,Mineral resources and mining,735141276.50403,429129111.25468004,531422951.854115
2009,Other social infrastructure and services,23820455871.80488,21098852226.6762,21305638296.25455
2009,Trade policy and regulations,72509629.053,7824149.7014408,40166889.3772204
2009,Transport and storage,17417238244.7571,7830728679.314894,12628016880.797346
2009,Water supply and sanitation,19864370754.03799,12422710563.41045,13686767078.55393
2010,"Agriculture, forestry, fishing",5807070382.91546,3572834798.522906,3829859030.934558
2010,Banking and financial services,7185786257.80606,4982150192.839752,5154478585.843906
2010,Basic education,1869011178.7998,1065442829.9753,1842866890.74867
2010,Communications,2042905814.0018802,1286165835.18784,1545621695.7144
2010,Education,14399961944.77119,11538813587.809635,11879409465.904928
2010,Energy generation and supply,14274857440.62158,3600943947.223268,8991745469.658215
2010,"Government and civil society, general",7356437335.3646,5931880752.192754,4726592939.145014
2010,Health,5557386927.30445,3119281441.8183303,4362734095.10985
2010,Industry,603937161.24596,80817170.93376699,316315186.4698825
2010,Mineral resources and mining,142783688.13706,144289775.06062,90230106.222
2010,Other social infrastructure and services,14151410882.33328,11336229642.18953,11406703282.69541
2010,Trade policy and regulations,1529933740.8973,202308156.27179998,619351761.32357
2010,Transport and storage,14392532647.140799,2390196780.025842,8082674928.74108
2010,Water supply and sanitation,20302415251.81389,9886244180.625423,13498847141.93801
2011,"Agriculture, forestry, fishing",3865164582.476,1034513606.5322,2317085101.51
2011,Banking and financial services,3103604003.2437,1469822879.7061698,1858816475.53
2011,Basic education,600000000.0,89195166.66,344597583.33
2011,Communications,4222060000.0,3240795789.75,3802785857.13
2011,Education,6984721517.404,5208017232.794,5268927526.45
2011,Energy generation and supply,6641471300.15476,4050819574.97572,4584674910.66
2011,"Government and civil society, general",4340773041.7042,3403557467.0753,3000767014.4
2011,Health,3802493773.0995,2196952948.299,3233022092.93
2011,Industry,738800000.0,132400579.9,358429497.71
2011,Mineral resources and mining,712000000.0,620202324.32,668101162.16
2011,Other social infrastructure and services,9914389555.48246,3149124096.1491,7426745423.53
2011,Trade policy and regulations,70000000.0,5155627.4,37577813.7
2011,Transport and storage,7959178668.4439,497262312.9752,5020788777.5
2011,Water supply and sanitation,17177444667.38509,5223398679.0649805,10849596341.86
2012,"Agriculture, forestry, fishing",2668209391.88,0.0,2668209391.88
2012,Banking and financial services,977916341.67336,490921858.27,977916341.67336
2012,Communications,554839884.216458,0.0,554839884.216458
2012,Education,3405750754.868148,1570949.946462,3381990136.927879
2012,Energy generation and supply,2085043316.4412,0.0,2085043316.4412
2012,General environmental protection,137104656.577,0.0,137104656.577
2012,"Government and civil society, general",1825002008.1152802,0.0,1825002008.1152802
2012,Health,2660796471.82416,0.0,2660796471.82416
2012,Industry,1744746102.72784,0.0,1744746102.72784
2012,Mineral resources and mining,540014044.0956,196456441.5884,540057893.2360001
2012,Other,14727655.7481,0.0,14727655.7481
2012,Other social infrastructure and services,6981399746.44916,0.0,6981399746.44916
2012,Trade policy and regulations,235642491.9692,0.0,235642491.9692
2012,Transport and storage,4032137590.7044,0.0,4032137590.7044
2012,Water supply and sanitation,9691003669.41629,49640722.27454,9201337923.08766
2013,"Agriculture, forestry, fishing",3000098250.76753,0.0,3000098250.76753
2013,Banking and financial services,1577300751.54181,0.0,1577300751.54181
2013,Basic education,180759922.1502,0.0,180759922.1502
2013,Communications,1092564615.16538,0.0,1092564615.16538
2013,Education,3240405655.84054,0.0,3240405655.84054
2013,Energy generation and supply,1235984701.96887,0.0,1235984701.96887
2013,General environmental protection,150805420.7654,0.0,150805420.7654
2013,"Government and civil society, general",1644553771.7195,0.0,1644553771.7195
2013,Health,1932581796.24109,0.0,1932581796.24109
2013,Industry,273722167.82710004,0.0,273722167.82710004
2013,Mineral resources and mining,766277461.9777,0.0,766277461.9777
2013,Other,15493707.6128,0.0,15493707.6128
2013,Other social infrastructure and services,9351072292.64884,0.0,9351072292.64884
2013,Trade policy and regulations,116202807.09655,0.0,116202807.09655
2013,Transport and storage,3162327698.6110797,0.0,3162327698.6110797
2013,Water supply and sanitation,4832446087.88844,0.0,4832446087.88844
2014,"Agriculture, forestry, fishing",3257420000.0,0.0,3257420000.0
2014,Banking and financial services,6085100000.0,0.0,6085100000.0
2014,Basic education,1436200000.0,0.0,1436200000.0
2014,Communications,802500000.0,0.0,802500000.0
2014,Education,2705800000.0,0.0,2705800000.0
2014,Energy generation and supply,4770300000.0,0.0,4770300000.0
2014,General environmental protection,246600000.0,0.0,246600000.0
2014,"Government and civil society, general",2702000000.0,0.0,2702000000.0
2014,Health,1889970000.0,0.0,1889970000.0
2014,Industry,1047520000.0,0.0,1047520000.0
2014,Mineral resources and mining,1113000000.0,0.0,1113000000.0
2014,Other social infrastructure and services,6712410000.0,0.0,6712410000.0
2014,Trade policy and regulations,382200000.0,0.0,382200000.0
2014,Transport and storage,3956070000.0,0.0,3956070000.0
2014,Water supply and sanitation,9200530000.0,0.0,9200530000.0
