project_id,is_geocoded,project_title,donors,donors_iso3,recipients,recipients_iso3,ad_sector_codes,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements,transaction_year,transaction_currency,transaction_value,primary_sectors
P111556,1,AFCC2/RI-East Africa Public Health Laboratory Networking Project,World Bank,DAC,Eastern Africa,Unspecified,120|220,Communications|Health,Implementation,2010,2020,65017077.4003,10818875.9752,2010.0,USD,65017077.4003,Communications
P111556,1,AFCC2/RI-East Africa Public Health Laboratory Networking Project,World Bank,DAC,Eastern Africa,Unspecified,120|220,Communications|Health,Implementation,2010,2020,65017077.4003,10818875.9752,2010.0,USD,2342228.85629,Communications
P111556,1,AFCC2/RI-East Africa Public Health Laboratory Networking Project,World Bank,DAC,Eastern Africa,Unspecified,120|220,Communications|Health,Implementation,2010,2020,65017077.4003,10818875.9752,2010.0,USD,5063417.03021,Communications
P111556,1,AFCC2/RI-East Africa Public Health Laboratory Networking Project,World Bank,DAC,Eastern Africa,Unspecified,120|220,Communications|Health,Implementation,2010,2020,65017077.4003,10818875.9752,2010.0,USD,1552631.49267,Communications
P111556,1,AFCC2/RI-East Africa Public Health Laboratory Networking Project,World Bank,DAC,Eastern Africa,Unspecified,120|220,Communications|Health,Implementation,2010,2020,65017077.4003,10818875.9752,2010.0,USD,1860598.59607,Communications
P110075,1,Increased Access to Modern Energy,World Bank,DAC,Benin,BEN,230,Energy generation and supply,Implementation,2009,2016,72447531.1693,1024126.42508,2009.0,USD,72447531.1693,Energy generation and supply
P110075,1,Increased Access to Modern Energy,World Bank,DAC,Benin,BEN,230,Energy generation and supply,Implementation,2009,2016,72447531.1693,1024126.42508,2009.0,USD,1024126.42508,Energy generation and supply
P118077,1,Sao Paulo State Feeder Roads Additional Financing,World Bank,DAC,Brazil,BRA,210,Transport and storage,Completion,2010,2010,333746160.114,,2010.0,USD,333746160.114,Transport and storage
P098217,1,Education System Realignment & Strengthening Program (APL #2),World Bank,DAC,Georgia,GEO,151|114|113|112,"Post-secondary education|Basic education|Government and civil society, general|Secondary education",Completion,2006,2011,16471549.2695,17391404.6844,2006.0,USD,16471549.2695,Education
P098217,1,Education System Realignment & Strengthening Program (APL #2),World Bank,DAC,Georgia,GEO,151|114|113|112,"Post-secondary education|Basic education|Government and civil society, general|Secondary education",Completion,2006,2011,16471549.2695,17391404.6844,2006.0,USD,17391404.6844,Education
P090867,1,Local Government Management and Services Delivery Project,World Bank,DAC,Uganda,UGA,151|160,"Other social infrastructure and services|Government and civil society, general",Completion,2007,2012,58692711.8314,42152491.4448,2007.0,USD,58692711.8314,Other social infrastructure and services
P090867,1,Local Government Management and Services Delivery Project,World Bank,DAC,Uganda,UGA,151|160,"Other social infrastructure and services|Government and civil society, general",Completion,2007,2012,58692711.8314,42152491.4448,2007.0,USD,42152491.4448,Other social infrastructure and services
P083711,1,Chad: Institutional Reform Support Credit,World Bank,DAC,Chad,TCD,322|151|311|321,"Industry|Agriculture|Government and civil society, general|Mineral resources and mining",Completion,2004,2005,29280880.8907,31081443.0719,2004.0,USD,29280880.8907,Industry
P083711,1,Chad: Institutional Reform Support Credit,World Bank,DAC,Chad,TCD,322|151|311|321,"Industry|Agriculture|Government and civil society, general|Mineral resources and mining",Completion,2004,2005,29280880.8907,31081443.0719,2004.0,USD,31081443.0719,Industry
P094704,1,Ethiopia - Financial Sector Capacity Building Project,World Bank,DAC,Ethiopia,ETH,240,Banking and financial services,Completion,2006,2011,16471549.2695,10006793.5697,2006.0,USD,16471549.2695,Banking and financial services
P094704,1,Ethiopia - Financial Sector Capacity Building Project,World Bank,DAC,Ethiopia,ETH,240,Banking and financial services,Completion,2006,2011,16471549.2695,10006793.5697,2006.0,USD,10006793.5697,Banking and financial services
P094152,1,PE Irrigation Sub-Sector Supplemental Project,World Bank,DAC,Peru,PER,151|311,"Agriculture|Government and civil society, general",Completion,2005,2005,11630593.444,,2005.0,USD,11630593.444,"Agriculture, forestry, fishing"
P150402,1,Kazakhstan: Fostering Productive Innovation Project,World Bank,DAC,Kazakhstan,KAZ,151,"Government and civil society, general",Implementation,2014,2020,88000000.0,,2014.0,USD,88000000.0,"Government and civil society, general"
P099287,1,Fifth Poverty Reduction Support Credit,World Bank,DAC,Ghana,GHA,151|111|230|240|120,"Education, level unspecified|Banking and financial services|Health|Government and civil society, general|Energy generation and supply",Completion,2007,2008,117385423.663,117469412.934,2007.0,USD,117385423.663,Education
P099287,1,Fifth Poverty Reduction Support Credit,World Bank,DAC,Ghana,GHA,151|111|230|240|120,"Education, level unspecified|Banking and financial services|Health|Government and civil society, general|Energy generation and supply",Completion,2007,2008,117385423.663,117469412.934,2007.0,USD,117469412.934,Education
P078971,1,Health Sector Reform 2 Project (APL #2),World Bank,DAC,Romania,ROU,120|151,"Health|Government and civil society, general",Completion,2004,2013,93698818.8503,81374925.5519,2004.0,USD,93698818.8503,Health
P078971,1,Health Sector Reform 2 Project (APL #2),World Bank,DAC,Romania,ROU,120|151,"Health|Government and civil society, general",Completion,2004,2013,93698818.8503,81374925.5519,2004.0,USD,81374925.5519,Health
P100792,1,ROAD INFRASTRUCTURE AND SAFETY PROJECT,World Bank,DAC,Bosnia and Herzegovina,BIH,151|210,"Government and civil society, general|Transport and storage",Completion,2007,2012,26678505.3779,26130663.3798,2007.0,USD,26678505.3779,"Government and civil society, general"
P100792,1,ROAD INFRASTRUCTURE AND SAFETY PROJECT,World Bank,DAC,Bosnia and Herzegovina,BIH,151|210,"Government and civil society, general|Transport and storage",Completion,2007,2012,26678505.3779,26130663.3798,2007.0,USD,26130663.3798,"Government and civil society, general"
P104990,1,Fourth Poverty Reduction Strategy Grant,World Bank,DAC,Rwanda,RWA,151|120|311|111|140,"Water supply and sanitation|Education, level unspecified|Agriculture|Government and civil society, general|Health",Completion,2008,2008,73079006.3506,75632299.1377,2008.0,USD,73079006.3506,Water supply and sanitation
P104990,1,Fourth Poverty Reduction Strategy Grant,World Bank,DAC,Rwanda,RWA,151|120|311|111|140,"Water supply and sanitation|Education, level unspecified|Agriculture|Government and civil society, general|Health",Completion,2008,2008,73079006.3506,75632299.1377,2008.0,USD,75632299.1377,Water supply and sanitation
P122065,1,West Africa Agricultural Productivity Program APL (WAAPP-1C),World Bank,DAC,Western Africa,Unspecified,311|321,Industry|Agriculture,Implementation,2011,2016,83800000.0,3370792.24,2011.0,USD,83800000.0,Industry
P122065,1,West Africa Agricultural Productivity Program APL (WAAPP-1C),World Bank,DAC,Western Africa,Unspecified,311|321,Industry|Agriculture,Implementation,2011,2016,83800000.0,3370792.24,2011.0,USD,2039005.6,Industry
P122065,1,West Africa Agricultural Productivity Program APL (WAAPP-1C),World Bank,DAC,Western Africa,Unspecified,311|321,Industry|Agriculture,Implementation,2011,2016,83800000.0,3370792.24,2011.0,USD,500000.0,Industry
P122065,1,West Africa Agricultural Productivity Program APL (WAAPP-1C),World Bank,DAC,Western Africa,Unspecified,311|321,Industry|Agriculture,Implementation,2011,2016,83800000.0,3370792.24,2011.0,USD,831786.64,Industry
P083401,1,Health Sector Reform Project,World Bank,DAC,Malawi,MWI,120|151,"Health|Government and civil society, general",Completion,2004,2008,17568528.5344,18474569.8726,2004.0,USD,17568528.5344,Health
P083401,1,Health Sector Reform Project,World Bank,DAC,Malawi,MWI,120|151,"Health|Government and civil society, general",Completion,2004,2008,17568528.5344,18474569.8726,2006.0,USD,2598430.82139,Health
P083401,1,Health Sector Reform Project,World Bank,DAC,Malawi,MWI,120|151,"Health|Government and civil society, general",Completion,2004,2008,17568528.5344,18474569.8726,2004.0,USD,15876139.0512,Health
P105881,1,Sustainable Management of Fish Resources,World Bank,DAC,Senegal,SEN,311|310,"Agriculture, forestry, fishing|Agriculture",Completion,2008,2012,3653950.31753,2398980.28478,2008.0,USD,3653950.31753,"Agriculture, forestry, fishing"
P105881,1,Sustainable Management of Fish Resources,World Bank,DAC,Senegal,SEN,311|310,"Agriculture, forestry, fishing|Agriculture",Completion,2008,2012,3653950.31753,2398980.28478,2008.0,USD,2398980.28478,"Agriculture, forestry, fishing"
P121800,1,MEDEC Low-Carbon DPL Loan,World Bank,DAC,Mexico,MEX,312|230|210|430,Forestry|Other|Transport and storage|Energy generation and supply,Completion,2010,2012,409548351.202,409550911.645,2010.0,USD,409548351.202,"Agriculture, forestry, fishing"
P121800,1,MEDEC Low-Carbon DPL Loan,World Bank,DAC,Mexico,MEX,312|230|210|430,Forestry|Other|Transport and storage|Energy generation and supply,Completion,2010,2012,409548351.202,409550911.645,2010.0,USD,409550911.645,"Agriculture, forestry, fishing"
P064836,1,Urban Water Supply Project,World Bank,DAC,Tunisia,TUN,151|140,"Water supply and sanitation|Government and civil society, general",Implementation,2005,2018,43110279.598,35092712.7769,2005.0,USD,43110279.598,Water supply and sanitation
P064836,1,Urban Water Supply Project,World Bank,DAC,Tunisia,TUN,151|140,"Water supply and sanitation|Government and civil society, general",Implementation,2005,2018,43110279.598,35092712.7769,2005.0,USD,35092712.7769,Water supply and sanitation
P063683,1,Regional Trade Facilitation Project I,World Bank,DAC,Africa,Unspecified,240,Banking and financial services,Completion,2001,2011,6247222.17266,12472827.7838,2005.0,USD,5837750.67089,Banking and financial services
P074316,1,FINANCIAL SECTOR TECHNICAL ASSISTANCE PROJECT,World Bank,DAC,Niger,NER,160|240|220,Other social infrastructure and services|Banking and financial services|Communications,Completion,2004,2010,17334281.4873,14078647.4739,2004.0,USD,17334281.4873,Other social infrastructure and services
P074316,1,FINANCIAL SECTOR TECHNICAL ASSISTANCE PROJECT,World Bank,DAC,Niger,NER,160|240|220,Other social infrastructure and services|Banking and financial services|Communications,Completion,2004,2010,17334281.4873,14078647.4739,2004.0,USD,14078647.4739,Other social infrastructure and services
P123447,1,Rural Roads Infrastructure Improvement Project,World Bank,DAC,Nicaragua,NIC,210,Transport and storage,Implementation,2011,2017,35000000.0,,2011.0,USD,35000000.0,Transport and storage
P102549,1,India: Technical Engineering Educational Quality Improvement II,World Bank,DAC,India,IND,114|111,"Post-secondary education|Education, level unspecified",Implementation,2010,2016,306395275.213,13408983.0213,2010.0,USD,306395275.213,Education
P102549,1,India: Technical Engineering Educational Quality Improvement II,World Bank,DAC,India,IND,114|111,"Post-secondary education|Education, level unspecified",Implementation,2010,2016,306395275.213,13408983.0213,2010.0,USD,13408983.0213,Education
P146515,1,Kariba Dam Rehabilitation Project,World Bank,DAC,Africa,Unspecified,410|140,Water supply and sanitation|General environmental protection,Implementation,2014,2025,75000000.0,,2014.0,USD,75000000.0,Water supply and sanitation
P093622,1,Agricultural Services & Producer Organizations Project 2,World Bank,DAC,Senegal,SEN,151|311|321,"Industry|Agriculture|Government and civil society, general",Completion,2006,2011,21962065.6926,22724885.2111,2006.0,USD,21962065.6926,Industry
P093622,1,Agricultural Services & Producer Organizations Project 2,World Bank,DAC,Senegal,SEN,151|311|321,"Industry|Agriculture|Government and civil society, general",Completion,2006,2011,21962065.6926,22724885.2111,2006.0,USD,22724885.2111,Industry
P070653,1,UY Integrated Natural Resources and Biodiversity Management Project,World Bank,DAC,Uruguay,URY,151|312|311,"Forestry|Agriculture|Government and civil society, general",Completion,2005,2012,34007583.1696,32177810.5304,2005.0,USD,34007583.1696,"Agriculture, forestry, fishing"
P070653,1,UY Integrated Natural Resources and Biodiversity Management Project,World Bank,DAC,Uruguay,URY,151|312|311,"Forestry|Agriculture|Government and civil society, general",Completion,2005,2012,34007583.1696,32177810.5304,2005.0,USD,32177810.5304,"Agriculture, forestry, fishing"
P092724,1,DRC - Agriculture Rehabilitation and Recovery Support,World Bank,DAC,"Congo, Democratic Republic of",COD,311|310|210,"Agriculture, forestry, fishing|Agriculture|Transport and storage",Implementation,2010,2015,122558110.085,19438295.7858,2010.0,USD,122558110.085,"Agriculture, forestry, fishing"
P092724,1,DRC - Agriculture Rehabilitation and Recovery Support,World Bank,DAC,"Congo, Democratic Republic of",COD,311|310|210,"Agriculture, forestry, fishing|Agriculture|Transport and storage",Implementation,2010,2015,122558110.085,19438295.7858,2010.0,USD,19438295.7858,"Agriculture, forestry, fishing"
P110618,1,TG-Economic Recovery and Governance Grant,World Bank,DAC,Togo,TGO,151|321|230|240,"Banking and financial services|Industry|Energy generation and supply|Government and civil society, general",Completion,2008,2009,182697515.876,171602841.523,2008.0,USD,182697515.876,Banking and financial services
P110618,1,TG-Economic Recovery and Governance Grant,World Bank,DAC,Togo,TGO,151|321|230|240,"Banking and financial services|Industry|Energy generation and supply|Government and civil society, general",Completion,2008,2009,182697515.876,171602841.523,2008.0,USD,171602841.523,Banking and financial services
P097961,1,LAO PDR - Financial Management Capacity Building Project - Additional Financing,World Bank,DAC,Lao People's Democratic Republic,LAO,151,"Government and civil society, general",Completion,2007,2007,3201420.64535,,2007.0,USD,3201420.64535,"Government and civil society, general"
P122990,1,CG Rep: Transparency & Governance Repeat Project,World Bank,DAC,"Congo, Republic of",COG,151,"Government and civil society, general",Completion,2012,2015,4909218.58269,,2012.0,USD,4909218.58269,"Government and civil society, general"
P128013,1,MH: First ICT Sector Development Operation,World Bank,DAC,Marshall Islands,MHL,220,Communications,Completion,2013,2013,3098741.52257,,2013.0,USD,3098741.52257,Communications
P102573,1,Afghanistan Skills Development Project,World Bank,DAC,Afghanistan,AFG,151|113,"Government and civil society, general|Secondary education",Completion,2008,2014,20879716.1002,13686120.9176,2008.0,USD,20879716.1002,"Government and civil society, general"
P102573,1,Afghanistan Skills Development Project,World Bank,DAC,Afghanistan,AFG,151|113,"Government and civil society, general|Secondary education",Completion,2008,2014,20879716.1002,13686120.9176,2008.0,USD,13686120.9176,"Government and civil society, general"
P078673,1,Poverty Reduction Support Credit (PRSC),World Bank,DAC,Armenia,ARM,120|151|310|111|240,"Education, level unspecified|Banking and financial services|Health|Government and civil society, general|Agriculture, forestry, fishing",Completion,2004,2005,23424704.7126,24806194.2415,2004.0,USD,23424704.7126,Education
P078673,1,Poverty Reduction Support Credit (PRSC),World Bank,DAC,Armenia,ARM,120|151|310|111|240,"Education, level unspecified|Banking and financial services|Health|Government and civil society, general|Agriculture, forestry, fishing",Completion,2004,2005,23424704.7126,24806194.2415,2004.0,USD,24806194.2415,Education
P066396,1,"System Efficiency Improvement, Equitization & Renewables Project",World Bank,DAC,Vietnam,VNM,151|230,"Government and civil society, general|Energy generation and supply",Completion,2002,2012,276645743.396,335942190.823,2010.0,USD,3931448.93907,"Government and civil society, general"
P124615,1,Mozambique Public Financial Management for Results Program,World Bank,DAC,Mozambique,MOZ,151|121|111,"Education, level unspecified|Government and civil society, general|Health, general",Implementation,2014,2018,50000000.0,,2014.0,USD,50000000.0,Education
P075060,1,India: Reproductive & Child Health Second Phase,World Bank,DAC,India,IND,120|151|160,"Other social infrastructure and services|Health|Government and civil society, general",Completion,2006,2012,395317182.467,319446484.37,2006.0,USD,395317182.467,Other social infrastructure and services
P075060,1,India: Reproductive & Child Health Second Phase,World Bank,DAC,India,IND,120|151|160,"Other social infrastructure and services|Health|Government and civil society, general",Completion,2006,2012,395317182.467,319446484.37,2006.0,USD,319446484.37,Other social infrastructure and services
P101981,1,CG-TRANSPARENCY & GOVERN. SUPPL,World Bank,DAC,"Congo, Republic of",COG,151|322,"Mineral resources and mining|Government and civil society, general",Completion,2007,2007,16007103.2268,,2007.0,USD,16007103.2268,Mineral resources and mining
P146630,1,Transport Sector Support Project - Additional Financing,World Bank,DAC,Kenya,KEN,210,Transport and storage,Implementation,2014,2014,203500000.0,,2014.0,USD,203500000.0,Transport and storage
P085593,1,MX (APL I) Tertiary Educ Student Ass,World Bank,DAC,Mexico,MEX,151|114|113,"Post-secondary education|Government and civil society, general|Secondary education",Completion,2005,2011,204045499.018,189464298.618,2005.0,USD,204045499.018,Education
P085593,1,MX (APL I) Tertiary Educ Student Ass,World Bank,DAC,Mexico,MEX,151|114|113,"Post-secondary education|Government and civil society, general|Secondary education",Completion,2005,2011,204045499.018,189464298.618,2005.0,USD,189464298.618,Education
P082239,1,Hydrometerological System Modernization Project,World Bank,DAC,Russian Federation,RUS,151,"Government and civil society, general",Completion,2005,2013,90686888.4523,89648843.7155,2005.0,USD,90686888.4523,"Government and civil society, general"
P082239,1,Hydrometerological System Modernization Project,World Bank,DAC,Russian Federation,RUS,151,"Government and civil society, general",Completion,2005,2013,90686888.4523,89648843.7155,2005.0,USD,89648843.7155,"Government and civil society, general"
P146413,1,South Sudan Health Rapid Results AF,World Bank,DAC,South Sudan,SSD,120|151,"Health|Government and civil society, general",Implementation,2014,2014,35000000.0,,2014.0,USD,35000000.0,Health
P100635,1,OECS E-Government for Regional Integration Program (APL),World Bank,DAC,OECS Countries,Unspecified,151,"Government and civil society, general",Completion,2008,2014,7516697.79606,2098885.08267,2008.0,USD,7516697.79606,"Government and civil society, general"
P100635,1,OECS E-Government for Regional Integration Program (APL),World Bank,DAC,OECS Countries,Unspecified,151,"Government and civil society, general",Completion,2008,2014,7516697.79606,2098885.08267,2008.0,USD,678496.449138,"Government and civil society, general"
P100635,1,OECS E-Government for Regional Integration Program (APL),World Bank,DAC,OECS Countries,Unspecified,151,"Government and civil society, general",Completion,2008,2014,7516697.79606,2098885.08267,2008.0,USD,707793.050235,"Government and civil society, general"
P100635,1,OECS E-Government for Regional Integration Program (APL),World Bank,DAC,OECS Countries,Unspecified,151,"Government and civil society, general",Completion,2008,2014,7516697.79606,2098885.08267,2008.0,USD,712595.583295,"Government and civil society, general"
P130339,1,India Second Kerala State Transport Project,World Bank,DAC,India,IND,210,Transport and storage,Implementation,2013,2019,223109389.625,,2013.0,USD,223109389.625,Transport and storage
P127338,0,Climate Resilient Infrastructure,World Bank,DAC,Belize,BLZ,151|311|410|210,"Agriculture|Transport and storage|Government and civil society, general|General environmental protection",Implementation,2014,2019,30000000.0,,2014.0,USD,30000000.0,"Agriculture, forestry, fishing"
P111984,1,Rural Development Support Project Additional Financing,World Bank,DAC,Madagascar,MDG,311|310,"Agriculture, forestry, fishing|Agriculture",Completion,2008,2008,31319574.1503,,2008.0,USD,31319574.1503,"Agriculture, forestry, fishing"
P071094,1,POOR RURAL COMMUNITIES DEVELOPMENT PROJECT,World Bank,DAC,China,CHN,151|310|111|210|140,"Water supply and sanitation|Education, level unspecified|Transport and storage|Government and civil society, general|Agriculture, forestry, fishing",Completion,2005,2011,113358610.565,113027315.9,2005.0,USD,113358610.565,Water supply and sanitation
P071094,1,POOR RURAL COMMUNITIES DEVELOPMENT PROJECT,World Bank,DAC,China,CHN,151|310|111|210|140,"Water supply and sanitation|Education, level unspecified|Transport and storage|Government and civil society, general|Agriculture, forestry, fishing",Completion,2005,2011,113358610.565,113027315.9,2005.0,USD,113027315.9,Water supply and sanitation
P110376,1,Livelihood Restoration in Cyclone Affected Area-Additional Financing-III SIPP,World Bank,DAC,Bangladesh,BGD,321|310|160|240,"Other social infrastructure and services|Banking and financial services|Industry|Agriculture, forestry, fishing",Completion,2008,2008,52199290.2504,,2008.0,USD,52199290.2504,Other social infrastructure and services
P148927,1,Transformation of Agriculture Sector Program Phase 3 PforR,World Bank,DAC,Rwanda,RWA,311|321|240,Banking and financial services|Agriculture|Industry,Implementation,2014,2017,100000000.0,,2014.0,USD,100000000.0,Banking and financial services
P116919,1,Alma Transmission Project,World Bank,DAC,Kazakhstan,KAZ,230,Energy generation and supply,Completion,2010,2015,79662771.5555,681373.241563,2010.0,USD,79662771.5555,Energy generation and supply
P116919,1,Alma Transmission Project,World Bank,DAC,Kazakhstan,KAZ,230,Energy generation and supply,Completion,2010,2015,79662771.5555,681373.241563,2010.0,USD,681373.241563,Energy generation and supply
P097030,1,AF: Civil Service Reform Project,World Bank,DAC,Afghanistan,AFG,151,"Government and civil society, general",Completion,2007,2011,21769660.3884,16110215.4153,2007.0,USD,21769660.3884,"Government and civil society, general"
P097030,1,AF: Civil Service Reform Project,World Bank,DAC,Afghanistan,AFG,151,"Government and civil society, general",Completion,2007,2011,21769660.3884,16110215.4153,2007.0,USD,16110215.4153,"Government and civil society, general"
P127463,1,"Strengthening Service Delivery for Growth, Poverty Reduction and Enviromental Sustainability in the State of Cear&#225; PforR",World Bank,DAC,Brazil,BRA,151|111|140,"Water supply and sanitation|Education, level unspecified|Government and civil society, general",Implementation,2013,2018,361519844.299,,2013.0,USD,361519844.299,Water supply and sanitation
P129326,1,MA MSME Development Project,World Bank,DAC,Morocco,MAR,240,Banking and financial services,Implementation,2012,2017,49092185.8269,,2012.0,USD,49092185.8269,Banking and financial services
P095514,1,AR Lifelong Learning Project,World Bank,DAC,Argentina,ARG,151|160|113|112,"Other social infrastructure and services|Secondary education|Government and civil society, general|Basic education",Completion,2007,2013,213428043.023,171909063.785,2007.0,USD,213428043.023,Other social infrastructure and services
P095514,1,AR Lifelong Learning Project,World Bank,DAC,Argentina,ARG,151|160|113|112,"Other social infrastructure and services|Secondary education|Government and civil society, general|Basic education",Completion,2007,2013,213428043.023,171909063.785,2007.0,USD,171909063.785,Other social infrastructure and services
P117944,1,HT 3rd Econ. Governance Reform Operation,World Bank,DAC,Haiti,HTI,151,"Government and civil society, general",Completion,2009,2010,12937059.1374,12939294.6612,2009.0,USD,12937059.1374,"Government and civil society, general"
P117944,1,HT 3rd Econ. Governance Reform Operation,World Bank,DAC,Haiti,HTI,151,"Government and civil society, general",Completion,2009,2010,12937059.1374,12939294.6612,2009.0,USD,12939294.6612,"Government and civil society, general"
P119694,1,PA Metro Water and Sanitation Improvement Project,World Bank,DAC,Panama,PAN,140,Water supply and sanitation,Implementation,2010,2015,40852703.3618,,2010.0,USD,40852703.3618,Water supply and sanitation
P095515,1,AR Provincial Maternal-Child Health Investment APL 2,World Bank,DAC,Argentina,ARG,151|121|120,"Health, general|Health|Government and civil society, general",Completion,2006,2012,329430985.389,277501029.335,2006.0,USD,329430985.389,Health
P095515,1,AR Provincial Maternal-Child Health Investment APL 2,World Bank,DAC,Argentina,ARG,151|121|120,"Health, general|Health|Government and civil society, general",Completion,2006,2012,329430985.389,277501029.335,2006.0,USD,277501029.335,Health
P112817,1,LS -2ND POVERTY REDUCTION SUPPORT CREDIT,World Bank,DAC,Lesotho,LSO,151|120|113|112,"Basic education|Health|Government and civil society, general|Secondary education",Completion,2010,2011,25532939.6011,24921591.1511,2010.0,USD,25532939.6011,Basic education
P112817,1,LS -2ND POVERTY REDUCTION SUPPORT CREDIT,World Bank,DAC,Lesotho,LSO,151|120|113|112,"Basic education|Health|Government and civil society, general|Secondary education",Completion,2010,2011,25532939.6011,24921591.1511,2010.0,USD,19844970.7314,Basic education
P112817,1,LS -2ND POVERTY REDUCTION SUPPORT CREDIT,World Bank,DAC,Lesotho,LSO,151|120|113|112,"Basic education|Health|Government and civil society, general|Secondary education",Completion,2010,2011,25532939.6011,24921591.1511,2010.0,USD,5076620.41967,Basic education
P147348,1,Transmission Grid Strengthening Project,World Bank,DAC,Georgia,GEO,230,Energy generation and supply,Implementation,2014,2019,60000000.0,,2014.0,USD,60000000.0,Energy generation and supply
P082888,1,Public Sector Capacity Building Project,World Bank,DAC,Mauritania,MRT,151|160,"Other social infrastructure and services|Government and civil society, general",Completion,2006,2014,14275342.7002,7561618.7426,2006.0,USD,14275342.7002,Other social infrastructure and services
P082888,1,Public Sector Capacity Building Project,World Bank,DAC,Mauritania,MRT,151|160,"Other social infrastructure and services|Government and civil society, general",Completion,2006,2014,14275342.7002,7561618.7426,2006.0,USD,7561618.7426,Other social infrastructure and services
P086411,1,SL- Road Sector Assistance Project,World Bank,DAC,Sri Lanka,LKA,151|210,"Government and civil society, general|Transport and storage",Completion,2005,2015,113358610.565,198062573.618,2005.0,USD,113358610.565,"Government and civil society, general"
P086411,1,SL- Road Sector Assistance Project,World Bank,DAC,Sri Lanka,LKA,151|210,"Government and civil society, general|Transport and storage",Completion,2005,2015,113358610.565,198062573.618,2005.0,USD,115009842.611,"Government and civil society, general"
P086411,1,SL- Road Sector Assistance Project,World Bank,DAC,Sri Lanka,LKA,151|210,"Government and civil society, general|Transport and storage",Completion,2005,2015,113358610.565,198062573.618,2008.0,USD,82233871.017,"Government and civil society, general"
P086411,1,SL- Road Sector Assistance Project,World Bank,DAC,Sri Lanka,LKA,151|210,"Government and civil society, general|Transport and storage",Completion,2005,2015,113358610.565,198062573.618,2011.0,USD,818859.99,"Government and civil society, general"
P094103,1,AFCC2/RI-Regional Communications Infrastructure Project,World Bank,DAC,Eastern Africa,Unspecified,151|220,"Communications|Government and civil society, general",Implementation,2007,2016,175544565.387,64953168.4983,2007.0,USD,175544565.387,Communications
P094103,1,AFCC2/RI-Regional Communications Infrastructure Project,World Bank,DAC,Eastern Africa,Unspecified,151|220,"Communications|Government and civil society, general",Implementation,2007,2016,175544565.387,64953168.4983,2007.0,USD,57490668.958,Communications
P094103,1,AFCC2/RI-Regional Communications Infrastructure Project,World Bank,DAC,Eastern Africa,Unspecified,151|220,"Communications|Government and civil society, general",Implementation,2007,2016,175544565.387,64953168.4983,2007.0,USD,2267528.76514,Communications
P094103,1,AFCC2/RI-Regional Communications Infrastructure Project,World Bank,DAC,Eastern Africa,Unspecified,151|220,"Communications|Government and civil society, general",Implementation,2007,2016,175544565.387,64953168.4983,2007.0,USD,5194970.77519,Communications
P075531,1,Rural Electrification Phase I Project of the Rural Electrification (APL) Program,World Bank,DAC,Lao People's Democratic Republic,LAO,230,Energy generation and supply,Completion,2006,2012,10981032.8463,10546466.1362,2006.0,USD,10981032.8463,Energy generation and supply
